,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
314,test_15_4,test_runner,15,4,60,22,66.0
315,test_30_2,test_runner,30,2,60,22,65.0
316,test_10_6,test_runner,10,6,60,23,59.0
317,test_15_4,test_runner,15,4,60,23,64.0
318,test_30_2,test_runner,30,2,60,23,72.0
319,test_10_6,test_runner,10,6,60,24,69.0
320,test_15_4,test_runner,15,4,60,24,70.0
321,test_30_2,test_runner,30,2,60,24,65.0
322,test_10_6,test_runner,10,6,60,25,59.0
323,test_15_4,test_runner,15,4,60,25,66.0
324,test_30_2,test_runner,30,2,60,25,65.0
325,test_10_6,test_runner,10,6,60,26,56.0
326,test_15_4,test_runner,15,4,60,26,64.0
327,test_30_2,test_runner,30,2,60,26,56.0
328,test_10_6,test_runner,10,6,60,27,61.0
329,test_15_4,test_runner,15,4,60,27,64.0
330,test_30_2,test_runner,30,2,60,27,58.0
331,test_10_6,test_runner,10,6,60,28,55.0
332,test_15_4,test_runner,15,4,60,28,62.0
333,test_30_2,test_runner,30,2,60,28,61.0
334,test_10_6,test_runner,10,6,60,29,51.0
335,test_15_4,test_runner,15,4,60,29,53.0
336,test_30_2,test_runner,30,2,60,29,59.0
337,test_10_6,test_runner,10,6,60,30,52.0
338,test_15_4,test_runner,15,4,60,30,53.0
339,test_30_2,test_runner,30,2,60,30,52.0
340,test_10_6,test_runner,10,6,60,31,53.0
341,test_15_4,test_runner,15,4,60,31,59.0
342,test_30_2,test_runner,30,2,60,31,55.0
343,test_10_6,test_runner,10,6,60,32,56.0
344,test_15_4,test_runner,15,4,60,32,61.0
345,test_30_2,test_runner,30,2,60,32,53.0
346,test_10_6,test_runner,10,6,60,33,52.0
347,test_15_4,test_runner,15,4,60,33,59.0
348,test_30_2,test_runner,30,2,60,33,52.0
349,test_10_6,test_runner,10,6,60,34,51.0
350,test_15_4,test_runner,15,4,60,34,50.0
351,test_30_2,test_runner,30,2,60,34,56.0
352,test_10_6,test_runner,10,6,60,35,52.0
353,test_15_4,test_runner,15,4,60,35,54.0
354,test_30_2,test_runner,30,2,60,35,53.0
355,test_10_6,test_runner,10,6,60,36,53.0
356,test_15_4,test_runner,15,4,60,36,53.0
357,test_30_2,test_runner,30,2,60,36,51.0
358,test_10_6,test_runner,10,6,60,37,50.0
359,test_15_4,test_runner,15,4,60,37,52.0
360,test_30_2,test_runner,30,2,60,37,54.0
361,test_10_6,test_runner,10,6,60,38,49.0
362,test_15_4,test_runner,15,4,60,38,53.0
363,test_30_2,test_runner,30,2,60,38,52.0
364,test_10_6,test_runner,10,6,60,39,52.0
365,test_15_4,test_runner,15,4,60,39,56.0
366,test_30_2,test_runner,30,2,60,39,57.0
367,test_10_6,test_runner,10,6,60,40,54.0
368,test_15_4,test_runner,15,4,60,40,51.0
369,test_30_2,test_runner,30,2,60,40,66.0
370,test_10_6,test_runner,10,6,60,41,49.0
371,test_15_4,test_runner,15,4,60,41,55.0
372,test_30_2,test_runner,30,2,60,41,51.0
373,test_10_6,test_runner,10,6,60,42,55.0
374,test_15_4,test_runner,15,4,60,42,61.0
375,test_30_2,test_runner,30,2,60,42,56.0
376,test_10_6,test_runner,10,6,60,43,48.0
377,test_15_4,test_runner,15,4,60,43,57.0
378,test_30_2,test_runner,30,2,60,43,56.0
379,test_10_6,test_runner,10,6,60,44,51.0
380,test_15_4,test_runner,15,4,60,44,55.0
381,test_30_2,test_runner,30,2,60,44,51.0
382,test_10_6,test_runner,10,6,60,45,48.0
383,test_15_4,test_runner,15,4,60,45,54.0
384,test_30_2,test_runner,30,2,60,45,55.0
385,test_10_6,test_runner,10,6,60,46,51.0
386,test_15_4,test_runner,15,4,60,46,56.0
387,test_30_2,test_runner,30,2,60,46,53.0
388,test_10_6,test_runner,10,6,60,47,50.0
389,test_15_4,test_runner,15,4,60,47,55.0
390,test_30_2,test_runner,30,2,60,47,54.0
391,test_10_6,test_runner,10,6,60,48,48.0
392,test_15_4,test_runner,15,4,60,48,50.0
393,test_30_2,test_runner,30,2,60,48,52.0
394,test_10_6,test_runner,10,6,60,49,49.0
395,test_15_4,test_runner,15,4,60,49,54.0
396,test_30_2,test_runner,30,2,60,49,50.0
397,test_10_6,test_runner,10,6,60,50,54.0
398,test_15_4,test_runner,15,4,60,50,54.0
399,test_30_2,test_runner,30,2,60,50,49.0
400,test_35_2,test_runner,35,2,70,1,202.0
401,test_35_2,test_runner,35,2,70,2,100.0
402,test_35_2,test_runner,35,2,70,3,72.0
403,test_35_2,test_runner,35,2,70,4,84.0
404,test_35_2,test_runner,35,2,70,5,75.0
405,test_35_2,test_runner,35,2,70,6,78.0
406,test_35_2,test_runner,35,2,70,7,67.0
407,test_35_2,test_runner,35,2,70,8,62.0
408,test_35_2,test_runner,35,2,70,9,65.0
409,test_35_2,test_runner,35,2,70,10,64.0
410,test_35_2,test_runner,35,2,70,11,67.0
411,test_35_2,test_runner,35,2,70,12,65.0
412,test_35_2,test_runner,35,2,70,13,65.0
413,test_35_2,test_runner,35,2,70,14,64.0
414,test_35_2,test_runner,35,2,70,15,62.0
415,test_35_2,test_runner,35,2,70,16,61.0
416,test_35_2,test_runner,35,2,70,17,64.0
417,test_35_2,test_runner,35,2,70,18,62.0
418,test_35_2,test_runner,35,2,70,19,60.0
419,test_35_2,test_runner,35,2,70,20,54.0
420,test_35_2,test_runner,35,2,70,21,52.0
421,test_35_2,test_runner,35,2,70,22,55.0
422,test_35_2,test_runner,35,2,70,23,55.0
423,test_35_2,test_runner,35,2,70,24,49.0
424,test_35_2,test_runner,35,2,70,25,55.0
425,test_35_2,test_runner,35,2,70,26,51.0
426,test_35_2,test_runner,35,2,70,27,53.0
427,test_35_2,test_runner,35,2,70,28,54.0
428,test_35_2,test_runner,35,2,70,29,52.0
429,test_35_2,test_runner,35,2,70,30,51.0
430,test_35_2,test_runner,35,2,70,31,54.0
431,test_35_2,test_runner,35,2,70,32,54.0
432,test_35_2,test_runner,35,2,70,33,48.0
433,test_35_2,test_runner,35,2,70,34,55.0
434,test_35_2,test_runner,35,2,70,35,51.0
435,test_35_2,test_runner,35,2,70,36,56.0
436,test_35_2,test_runner,35,2,70,37,52.0
437,test_35_2,test_runner,35,2,70,38,50.0
438,test_35_2,test_runner,35,2,70,39,50.0
439,test_35_2,test_runner,35,2,70,40,49.0
440,test_35_2,test_runner,35,2,70,41,53.0
441,test_35_2,test_runner,35,2,70,42,57.0
442,test_35_2,test_runner,35,2,70,43,52.0
443,test_35_2,test_runner,35,2,70,44,47.0
444,test_35_2,test_runner,35,2,70,45,47.0
445,test_35_2,test_runner,35,2,70,46,53.0
446,test_35_2,test_runner,35,2,70,47,50.0
447,test_35_2,test_runner,35,2,70,48,50.0
448,test_35_2,test_runner,35,2,70,49,50.0
449,test_35_2,test_runner,35,2,70,50,50.0
450,test_10_8,test_runner,10,8,80,1,237.0
451,test_20_4,test_runner,20,4,80,1,207.0
452,test_40_2,test_runner,40,2,80,1,187.0
453,test_10_8,test_runner,10,8,80,2,92.0
454,test_20_4,test_runner,20,4,80,2,354.0
455,test_40_2,test_runner,40,2,80,2,93.0
456,test_10_8,test_runner,10,8,80,3,100.0
457,test_20_4,test_runner,20,4,80,3,90.0
458,test_40_2,test_runner,40,2,80,3,93.0
459,test_10_8,test_runner,10,8,80,4,95.0
460,test_20_4,test_runner,20,4,80,4,79.0
461,test_40_2,test_runner,40,2,80,4,77.0
462,test_10_8,test_runner,10,8,80,5,89.0
463,test_20_4,test_runner,20,4,80,5,81.0
464,test_40_2,test_runner,40,2,80,5,69.0
465,test_10_8,test_runner,10,8,80,6,91.0
466,test_20_4,test_runner,20,4,80,6,76.0
467,test_40_2,test_runner,40,2,80,6,68.0
468,test_10_8,test_runner,10,8,80,7,89.0
469,test_20_4,test_runner,20,4,80,7,70.0
470,test_40_2,test_runner,40,2,80,7,69.0
471,test_10_8,test_runner,10,8,80,8,81.0
472,test_20_4,test_runner,20,4,80,8,68.0
473,test_40_2,test_runner,40,2,80,8,68.0
474,test_10_8,test_runner,10,8,80,9,82.0
475,test_20_4,test_runner,20,4,80,9,73.0
476,test_40_2,test_runner,40,2,80,9,67.0
477,test_10_8,test_runner,10,8,80,10,76.0
478,test_20_4,test_runner,20,4,80,10,72.0
479,test_40_2,test_runner,40,2,80,10,68.0
480,test_10_8,test_runner,10,8,80,11,75.0
481,test_20_4,test_runner,20,4,80,11,72.0
482,test_40_2,test_runner,40,2,80,11,67.0
483,test_10_8,test_runner,10,8,80,12,75.0
484,test_20_4,test_runner,20,4,80,12,70.0
485,test_40_2,test_runner,40,2,80,12,72.0
486,test_10_8,test_runner,10,8,80,13,70.0
487,test_20_4,test_runner,20,4,80,13,73.0
488,test_40_2,test_runner,40,2,80,13,65.0
489,test_10_8,test_runner,10,8,80,14,68.0
490,test_20_4,test_runner,20,4,80,14,67.0
491,test_40_2,test_runner,40,2,80,14,67.0
492,test_10_8,test_runner,10,8,80,15,60.0
493,test_20_4,test_runner,20,4,80,15,74.0
494,test_40_2,test_runner,40,2,80,15,68.0
495,test_10_8,test_runner,10,8,80,16,60.0
496,test_20_4,test_runner,20,4,80,16,68.0
497,test_40_2,test_runner,40,2,80,16,72.0
498,test_10_8,test_runner,10,8,80,17,58.0
499,test_20_4,test_runner,20,4,80,17,64.0
